Nmhe;time;err_q;err_dq;err_tau;err_muscles;err_markers
100; 6.995269536972046; 5.9377148052985207e-05; 0.0013764726635717556; 0.006093838828861574; 0.0019405801082027286; 2.449853647034454e-05
2; 0.010935963416586116; 0.013532276737233288; 0.09417351615150953; 0.016905662364192; 0.00297799449908219; 0.004125110976167718
3; 0.014295595208394159; 0.00919321908021208; 0.052984083954865965; 0.01659088579213955; 0.0028929480722521086; 0.00247333983593793
4; 0.018495579560597736; 0.006093437289878446; 0.03158746954925205; 0.013810936475833894; 0.002423793082789857; 0.0015945595696532956
5; 0.022213240673667506; 0.003984988321591878; 0.018345552872943996; 0.011018054752981225; 0.0020092328372608888; 0.0010171429932496368
6; 0.02657322427059742; 0.0024544784076426175; 0.010167403229414316; 0.008997608349807212; 0.0017760727913832001; 0.0006032781684833524
8; 0.034655444000078285; 0.0007810874869960658; 0.003027578799567864; 0.007215737545567332; 0.001664850143013474; 0.00019201889118722603
9; 0.04146611821520459; 0.0004946618707951495; 0.0023231940570360137; 0.006900449428121802; 0.0016659021765750828; 0.00014608433577970804
10; 0.04138484795888265; 0.00038562640579852545; 0.0021302652226137934; 0.006725760140311969; 0.0016722012410566253; 0.0001263385446394628
11; 0.04903419366043605; 0.0003181869054918108; 0.0019374796750794008; 0.006619492407020027; 0.0016786149209822541; 0.000104536022174702
12; 0.06261070749976418; 0.00025023930051745155; 0.00171267659966299; 0.006548680545865927; 0.001684803775246707; 8.111131063951695e-05
13; 0.05382238037284763; 0.00018392048953931817; 0.001510319722436619; 0.006497498603953498; 0.0016910400450961338; 6.13066571798914e-05
14; 0.056134481762730795; 0.00012807003809565503; 0.0013594216268425759; 0.0064576036549928075; 0.0016978047340359067; 4.8152061902734196e-05
