Ns_mhe;  Co_lvl;  Marker_noise;  EMG_noise;  nb_try;  iter
9; 0; 0; 2; 7; 58
9; 0; 0; 2; 8; 53
9; 0; 0; 2; 9; 85
9; 0; 0; 2; 10; 66
9; 0; 0; 2; 10; 69
9; 0; 0; 2; 10; 88
9; 0; 0; 2; 11; 55
9; 0; 0; 2; 11; 59
9; 0; 0; 2; 11; 85
9; 0; 0; 2; 11; 86
9; 0; 0; 2; 11; 87
9; 0; 0; 2; 15; 52
9; 0; 0; 3; 1; 60
9; 0; 0; 3; 1; 63
9; 0; 0; 3; 1; 74
9; 0; 0; 3; 2; 75
9; 0; 0; 3; 2; 76
9; 0; 0; 3; 2; 77
9; 0; 0; 3; 3; 55
9; 0; 0; 3; 4; 74
9; 0; 0; 3; 4; 75
9; 0; 0; 3; 4; 76
9; 0; 0; 3; 6; 52
9; 0; 0; 3; 6; 73
9; 0; 0; 3; 6; 83
9; 0; 0; 3; 6; 84
9; 0; 0; 3; 6; 85
9; 0; 0; 3; 6; 86
9; 0; 0; 3; 6; 87
9; 0; 0; 3; 6; 88
9; 0; 0; 3; 6; 89
9; 0; 0; 3; 6; 90
9; 0; 0; 3; 6; 91
9; 0; 0; 3; 16; 74
9; 0; 0; 3; 16; 85
9; 0; 0; 3; 16; 86
9; 0; 0; 3; 16; 87
9; 0; 1; 1; 3; 53
9; 0; 1; 1; 11; 15
9; 0; 1; 2; 5; 53
9; 0; 1; 2; 6; 88
9; 0; 1; 2; 8; 15
9; 0; 1; 2; 9; 56
9; 0; 1; 2; 15; 87
9; 0; 1; 2; 18; 53
9; 0; 1; 2; 18; 54
9; 0; 1; 2; 18; 55
9; 0; 1; 3; 2; 85
9; 0; 1; 3; 3; 79
9; 0; 1; 3; 5; 55
9; 0; 1; 3; 5; 56
9; 0; 1; 3; 6; 55
9; 0; 1; 3; 6; 56
9; 0; 1; 3; 6; 58
9; 0; 1; 3; 8; 40
9; 0; 1; 3; 8; 73
9; 0; 1; 3; 10; 69
9; 0; 1; 3; 10; 70
9; 0; 1; 3; 10; 71
9; 0; 1; 3; 10; 72
9; 0; 1; 3; 17; 69
9; 0; 1; 3; 17; 83
9; 0; 2; 1; 15; 89
9; 0; 2; 2; 2; 52
9; 0; 2; 2; 5; 60
9; 0; 2; 2; 14; 81
9; 0; 2; 2; 14; 82
9; 0; 2; 2; 14; 83
9; 0; 2; 2; 14; 89
9; 0; 2; 2; 14; 90
9; 0; 2; 2; 14; 91
9; 0; 2; 3; 1; 78
9; 0; 2; 3; 5; 12
9; 0; 2; 3; 5; 14
9; 0; 2; 3; 5; 58
9; 0; 2; 3; 9; 50
9; 0; 2; 3; 9; 55
9; 0; 2; 3; 9; 56
9; 0; 2; 3; 12; 30
9; 0; 2; 3; 14; 62
9; 0; 2; 3; 16; 74
9; 0; 2; 3; 17; 15
9; 0; 3; 0; 4; 27
9; 0; 3; 1; 6; 57
9; 0; 3; 1; 19; 49
9; 0; 3; 2; 1; 62
9; 0; 3; 2; 10; 83
9; 0; 3; 2; 14; 48
9; 0; 3; 3; 2; 83
9; 0; 3; 3; 13; 75
9; 0; 3; 3; 15; 9
9; 0; 3; 3; 15; 52
9; 0; 3; 3; 15; 65
9; 0; 3; 3; 15; 76
9; 0; 3; 3; 15; 85
9; 0; 3; 3; 15; 91
9; 0; 3; 3; 16; 23
9; 1; 0; 1; 0; 74
9; 1; 0; 1; 0; 75
9; 1; 0; 1; 0; 76
